home_team,away_team,p_home_0,p_home_1,p_home_2,p_away_0,p_away_1,p_away_2,home_score,away_score,result_text,bet_value
CA Osasuna,Real Sociedad de Fútbol,0.562481395937284,0.20081274504732383,0.05132857246364342,0.24950808923624357,0.0340970930353951,0.003182770962942616,1,2,,-4.0
Villarreal CF,RCD Mallorca,0.889679200825857,0.6464921349081139,0.37845587396548086,0.21423866790739687,0.024789896679558998,0.0019516406762032368,8,4,,
Real Oviedo,Rayo Vallecano de Madrid,0.22320844816118846,0.02700392301246446,0.0022249359098701627,0.6441674639453501,0.27648746113342737,0.0865264952719289,5,6,,1.0
Real Betis Balompié,Girona FC,0.7171719571033146,0.3599838432269036,0.13443451758737912,0.20516531165871843,0.02265447621869965,0.0017003045263898064,3,2,,1.0
Getafe CF,Club Atlético de Madrid,0.2913770418132605,0.04730484037121485,0.0052717402376822875,0.24084199663281136,0.031659538758958994,0.002839911956591279,6,4,,
Elche CF,Real Madrid CF,0.4302580594813604,0.10973733519418061,0.01957938174945162,0.3385481090338347,0.06515811965631524,0.008659614388859982,4,2,,
RCD Espanyol de Barcelona,Sevilla FC,0.6441674639453501,0.27648746113342737,0.0865264952719289,0.562481395937284,0.20081274504732383,0.05132857246364342,0,3,,
Cagliari Calcio,Genoa CFC,0.38420950871407133,0.08564442202998479,0.013265007076266766,0.4707866584999497,0.1340145320908268,0.026859764597015,3,2,,1.0
Udinese Calcio,Bologna FC 1909,0.4707866584999497,0.1340145320908268,0.026859764597015,0.6150129010765164,0.24752521574046393,0.07213336592098418,3,0,,
ACF Fiorentina,Juventus FC,0.3153091652868171,0.055956576380308265,0.0068367678752876415,0.45450443617975633,0.1239010641674877,0.023718224163769897,4,3,,1.0
SSC Napoli,Atalanta BC,0.4204217212151905,0.10428811460529441,0.018069858257140914,0.30485607160112127,0.05207646127425625,0.006116532123917162,2,4,,
Hellas Verona FC,Parma Calcio 1913,0.30485607160112127,0.05207646127425625,0.006116532123917162,0.0868992837177377,0.0038901276920774164,0.00011698423636563593,2,4,,
US Cremonese,AS Roma,0.1662470819248194,0.014655642274786662,0.0008746023066018571,0.3652635810597181,0.0767470269959537,0.01117508289055269,1,1,,-4.0
SS Lazio,US Lecce,0.6537540992729287,0.28652359850179254,0.09178015112315963,0.26142328508120205,0.03761215934823281,0.0037013827220253592,2,0,,
FC Internazionale Milano,AC Milan,0.5382479742172623,0.18143959065787396,0.04358180610083762,0.38420950871407133,0.08564442202998479,0.013265007076266766,3,2,,1.0
Torino FC,Como 1907,0.20329653010653848,0.022227559676206265,0.0016515403091230674,0.2386996133031264,0.03107223511306978,0.0027594108144256557,6,3,,
US Sassuolo Calcio,AC Pisa 1909,0.5971096784708672,0.23084574980801886,0.0643621458703606,0.4707866584999497,0.1340145320908268,0.026859764597015,2,2,,
Burnley FC,Chelsea FC,0.2913210083304394,0.04728554287948894,0.0052684172853170175,0.483746329494104,0.14242158866375954,0.02958696359587709,4,4,,1.0
AFC Bournemouth,West Ham United FC,0.5858564804801399,0.220771284209189,0.0598521894341143,0.1286757052792531,0.008658584794301816,0.0003929428876247032,3,2,,1.0
Brighton & Hove Albion FC,Brentford FC,0.7477691320764908,0.4003436941653207,0.1610699765956447,0.2913210083304394,0.04728554287948894,0.0052684172853170175,3,4,,1.0
Fulham FC,Sunderland AFC,0.42360620921887115,0.10603387270034259,0.018548380546478005,0.11659095599518754,0.007077438143351267,0.00028941017732830865,3,1,,
Liverpool FC,Nottingham Forest FC,0.7105201020426642,0.3516607244096034,0.12922722587671454,0.1286757052792531,0.008658584794301816,0.0003929428876247032,7,2,,
Wolverhampton Wanderers FC,Crystal Palace FC,0.28149205257986454,0.043968764176514075,0.004708716506538813,0.6855797441153606,0.3217877125132984,0.11132951241293187,2,3,,
Newcastle United FC,Manchester City FC,0.35646016477621223,0.07280624291448756,0.010292981898129439,0.4392681069489276,0.11487775559706725,0.021045835784545774,3,4,,1.0
Leeds United FC,Aston Villa FC,0.3384853443506254,0.06513218085914829,0.008654254517934001,0.1866644876501613,0.018619960305153338,0.001259988471991269,3,2,,1.0
Arsenal FC,Tottenham Hotspur FC,0.39095782974961235,0.08895344780727132,0.014076328317434661,0.15235151895367893,0.012244332003873759,0.0006652256443857585,2,2,,
Manchester United FC,Everton FC,0.7024345898524347,0.341749244219022,0.12315206504725684,0.3384853443506254,0.06513218085914829,0.008654254517934001,4,3,,1.0
Preston North End FC,Blackburn Rovers FC,0.39207019290314693,0.08950604927890682,0.014213589575178931,0.28731067113804265,0.04591589845899258,0.005034525666572809,3,1,,
Bristol City FC,Swansea City AFC,0.3663263458492203,0.07723099211222872,0.011285277780518577,0.3394923307308244,0.06554905776204178,0.008740544934414007,1,4,,
Charlton Athletic FC,Southampton FC,0.5814536916195866,0.21691335851406557,0.05816192312940316,0.2622479345027193,0.037862513660228414,0.0037393851450109317,2,0,,
Coventry City FC,West Bromwich Albion FC,0.7641832976828518,0.42349879917397626,0.17740527317735777,0.17597003718711546,0.01648036696526678,0.001045882750249194,2,1,,-4.0
Birmingham City FC,Norwich City FC,0.6454359808920289,0.27780047720864887,0.08720603405482252,0.31152198248155294,0.05453249207144151,0.006569015750660379,3,3,,1.0
Derby County FC,Watford FC,0.4990476236651362,0.15276717919403215,0.03308499792521735,0.2922201074240214,0.04759572058900574,0.005321921020742693,1,2,,-4.0
Ipswich Town FC,Wrexham AFC,0.5160658579230873,0.16482333544790884,0.03735629100127147,0.39207019290314693,0.08950604927890682,0.014213589575178931,4,1,,
Leicester City FC,Stoke City FC,0.2148931720286552,0.02494797171300711,0.0019707297393399825,0.3394923307308244,0.06554905776204178,0.008740544934414007,1,1,,-4.0
Oxford United FC,Middlesbrough FC,0.35304844974263094,0.07131148430797019,0.009965532156874679,0.5325059527990529,0.17703812889049853,0.041894831782407604,2,0,,
Portsmouth FC,Millwall FC,0.3394923307308244,0.06554905776204178,0.008740544934414007,0.42873828772835965,0.1088843797052984,0.0193400252702709,4,3,,1.0
Queens Park Rangers FC,Hull City AFC,0.4850031372302006,0.14325406700508037,0.029862670432690197,0.5325059527990529,0.17703812889049853,0.041894831782407604,1,1,,-4.0
Sheffield Wednesday FC,Sheffield United FC,0.26733001811717694,0.03942576107989326,0.003979822485384865,0.5814536916195866,0.21691335851406568,0.05816192312940327,1,1,,-4.0
